TranscriptID	C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	H001	H002	H003	H004	H005	H006	H007	H008	H009	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	N001	N002	N003	N004	N005	N006	N007	N008	N009	N010	N011	N012	N013	N014	N015	N016	N017	N018	N019	N020	N021	N022	N023	N024	N025	N026	N027	N029	N030	N031	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	Unnamed: 88
ENSG00000000003	1733.1705	1541.6565	1896.7585	2094.1839	2070.5534	1829.7562	1882.9989	1558.1624	1817.4087	2271.3077	1400.0186	5091.5923	1741.2556	4196.9049	1201.4222	483.9032	1910.1234	1869.2768	1384.7524	2583.6227	2667.8767	4238.5479	1797.8497	1549.9269	4051.369	2911.9488	2246.2265	922.9254	3280.5961	3172.85	2273.756	260.9944	229.1689	1368.9858	2916.8316	2999.3503	1709.8248	871.6059	1801.7935	2237.2025	2168.7426	244.8395	1287.1384	1715.5953	2753.3564	2657.8022	2170.4366	5407.9021	2333.2363	2314.7296	1790.0136	1640.3747	3026.8524	1894.5206	1770.0847	1674.0424	1136.2756	559.9686	992.111	2409.4285	1476.8339	971.2705	1864.0629	1779.766	2641.3855	2772.8797	1512.2256	950.8624	1554.243	1760.8511	407.9728	2029.3082	4521.0914	2730.2558	1822.1596	5483.6909	1094.9917	2702.125	2652.6993	2091.9475	2100.9049	538	2451.2799	1959.8594	1035.0654	2559.0863	1179.4264	
ENSG00000000005	1	2	10	3	5	1	2	4	0	0	5	6	6	4	15	0	0	1	0	2	2	2	13	0	0	1	0	0	8	0	4	0	0	16	0	0	13	0	3	0	0	0	0	0	4	13	3	10	0	2	7	14	1	1	2	1	11.0001	0	4	1	3	3	0	3	0	0	32	0	3	0	4	2	1	2	0	1	2	4	11	3	0	0	1	4	11	3	5	
ENSG00000000419	558.2707	536.9999	672.0224	652.8413	671.574	575.6995	621.9753	554.8636	461.7554	985.9637	324.9951	2092.2583	508.9149	1235.44	361.4943	142	608.9952	338.6257	526	809.9833	625.2048	775.5859	389	345.9998	1176.927	845.8598	593.9933	411.7872	758.5864	671.9995	552.9999	59.0001	96	315	775.5933	762.7144	615.9999	324.7696	580.9998	675.6022	511	118	592.7709	794.8162	710.7964	691.0702	568.1266	1071.1758	578	453	374.9567	338	738.9963	614.9998	387	396.9997	313.2307	363	203.9959	507	421.3633	357.6974	532.4096	459.9624	528.6867	595.8636	403.9999	312.7068	297.9599	475.9963	99.0001	533.853	1265.6552	759.5471	439	1119.687	214	603.9991	651.3707	389.9999	437.0571	127.9999	662.2611	702.9694	299	654.2683	252.9999	
ENSG00000000457	270.0047	181.5506	309.498	283.7625	295.4748	383.5039	275.2842	342.4763	262.4566	434.054	90.882	763.8268	238.6867	529.7093	242.4608	68.1317	252.6395	176.3065	166.2705	251.7322	173.4137	310.6087	186.407	149.6874	447.4073	346.0711	208.0646	167.3097	203.7959	209.3009	127.8231	3	42	103.1886	373.4207	471.7215	209.1301	212.6269	189.9416	265.0866	177.8345	61.7295	319.6579	259.6432	281.4503	298.0927	242.2316	590.1804	238.4072	134.1495	107.728	156.7321	304.7628	206.9648	226.8828	183.4638	162.1601	72.9751	47.4555	151.061	137.6996	206.8395	313.6317	167.935	304.1489	297.2142	125.6221	158.1284	227.0779	215.6447	62.974	224.7495	508.9103	320.7922	150.9315	396.7874	73.4462	217.9375	192.3261	123.9647	189.8174	37.4451	256.7069	286.0295	97.1586	197.9747	125.0171	
ENSG00000000460	67.7175	42.4493	86.9298	232.7613	127.7308	135.4152	139.7164	128.5237	105.0989	143.3681	28.118	272.3955	102.3132	272.5499	98.6264	38.8682	96.3607	133.8952	111.9782	296.0895	104.5863	126.5878	69.6442	40.3126	189.5928	96.1217	110.3756	146.7271	177.2041	83.8427	102.1768	0	0	30.8114	198.5793	257.6451	115.6777	59.0911	68.134	155.3252	58.3832	28.7511	68.603	111.3569	93.1581	119.9886	67.7152	299.2074	88.6627	115.8505	97.361	28.2679	66.4617	125.0353	45.1172	110.5363	130.84	136.0249	35.5445	108.9504	88.3005	78.2222	107.5888	83.065	59.9291	75.8431	67.378	58.8717	49.0995	84.2445	21.026	87.3244	153.646	84.2078	69.3131	230.4362	57.5538	89.4519	142.7411	102.3765	60.1826	31.5549	77.6305	101.9705	27.8414	100.1001	36.3868	
ENSG00000000938	137.4606	17.1361	51.2523	40.8341	192.2485	119.6497	66.1551	127.3192	73.769	270.438	26.0496	135.8754	162.9727	84.3601	189.9815	11.8913	28.8236	47.5555	64.0655	101.4853	70.0656	86.3575	88.4705	27.7671	82.2381	83.7704	67.0656	144.8102	200.216	35.6241	38.3939	0	26.715	53.7629	128.3434	59.3001	101.5567	53.9056	24.3229	91.8287	35.9259	3.1334	112.1336	112.4175	24.277	49.998	27.9056	93.2587	42.851	105.7848	13.2739	186.0489	90.7689	10.0982	36.1666	55.6382	188.2305	20.3721	71.614	88.9624	5.6045	47.0431	54.2046	20.5517	84.2332	60.2862	112.8908	56.6317	24.1764	81.3164	18.0291	55.778	102.1206	95.5959	37.0996	195.2139	28.0032	30.7644	70.6475	16.9203	45.5375	8	67.4503	22.8838	90.5645	38.4332	77.8953	
ENSG00000000971	44883.1364	24584.7919	36244.6318	66560.2715	41076.1446	48737.8857	46108.4147	40585.8824	52640.0305	57601.1348	14344.6998	76464.846	39127.1732	96749.1337	34615.4501	16033.7891	48852.395	45255.174	27594.9771	61430.2859	50690.0589	67971.2363	23321.2807	33040.8088	85762.7584	66025.6658	38751.356	27963.3309	45642.9235	42385.6001	22548.7008	2095.1762	4841.8986	10147.7455	47555.0472	97560.0573	50374.8739	30992.7716	26794.403	41992.7566	41579.7254	4589.1901	43556.0592	26665.1997	56888.0809	47838.3815	46608.7825	128184.0032	37974.4891	20473.219	29619.8463	32456.0403	44207.7574	33497.7934	39046.8213	36805.4849	22793.9731	13165.911	14385.8154	29876.3708	34321.1312	37839.946	48874.7857	29198.7445	44392.2637	53106.6508	24850.1046	25660.4653	25722.4609	29692.914	5332.7467	56661.8724	86917.3678	56230.5133	28577.9887	92252.4329	14615.7901	49526.2916	50586.3097	23414.258	29144.769	5520.3662	47759.3838	63028.1132	13379.6403	35187.8263	16696.0418	
ENSG00000001036	1242.9717	980.7013	1133.0391	1462.7225	1422.6835	1551.4237	1195.1829	946.368	1030.7267	2253.8131	444.6278	4651.8097	1520	2670.2828	1160.8414	323	1287.6094	581.7018	1067.7139	2021.3972	802.9999	1285	645.2723	568.6915	1541.5356	1286.0001	740.6885	368.7701	1043.3491	1089.7957	633.544	29	155.7409	392.608	1355.2933	991.3174	781.4964	687.6111	580.7139	906.3431	649.2975	260.3203	1450.8204	1791.6061	1007.8848	1027	690.7371	1939.1791	791.715	701.2381	551	697.5986	1126.9117	654.3165	860	560.8731	558.9999	775	438	571.524	563.454	696.1152	924.1536	727.5529	790	1038.0094	563	545.538	506	648.3289	171.8671	757.7617	1923.3282	1329.2971	654	1769.0286	348	830	728.1105	511.6865	674	187.4358	1193.8514	980.3124	402.0746	899.6418	352.3414	
ENSG00000001084	2214.367	1513.0827	2602.0543	3323.0411	2149.4961	2141.1003	2856.101	1913.9614	2326.9498	2994.9429	1268.5325	7695.9512	2512.5583	5353.2581	1696.6374	811.0024	3070.9969	2578.0622	2411.9778	3709.4871	3944.8218	6075.8697	2402.7094	2461.4257	5919.1518	4643.6536	3452.8467	1629.6132	3749.609	3420.7235	3017.838	366.4397	393.4746	1440.1237	2731.3305	5568.0266	2824.4641	2306.4786	2637.9201	3709.4489	2953.7572	577.3035	4180.6979	4071.2309	3184.2401	4446.0431	4095	5930.1869	2936.8499	2859.1098	1942.4563	2215.4412	4002.3943	3151.7131	2850.0462	2194.9502	1655.0004	1719.9804	1092.7358	3088.4839	2510.601	2021.9613	3658.003	2051.9999	3830.6663	3760.6957	2199.6572	1935.2197	2283.9839	4352.8941	543.2505	3076.7737	6923.9847	4728.3007	2675.5087	6818.0118	994.6975	4126.9232	3420.6806	2410.4115	2826.2741	533.9999	3351.273	3928.969	1309.4973	3426.811	1587.0561	
ENSG00000001167	358	235	360.0476	373	326.6361	397.9501	336	330.9999	329.9656	415.9554	139	724.8576	336	705.9123	127	52	227	230	202	380	292	362	223.6034	196	444	370.9472	286	273	369	263	218	21	53	139	442.297	467	364	139.0457	237	334	262	52	246	273	328.7171	294	245.9999	592	332.2405	251.1992	205	212	410	305	204	147	149	159	64	288	195	196.1054	270	169	309.9999	285	256	159.9205	181	298.0689	48	233	540	472	175	512	96.1472	314	304.0656	195	180	64.8639	320	294.8804	258	236.8937	201.9106	
ENSG00000001460	86.7458	45.5291	17.1482	50.5004	73.8064	83.8134	10.308	52.1752	37.5648	46.8392	99.2334	134.8469	105.9351	149.5512	67.0379	1.1481	28.8522	20.7189	9.6617	43.1506	20.833	47.0046	23.2472	17.135	52.3499	31.2661	7.6377	15.053	31.724	40.7877	35.4238	27.8066	20.5477	14.2939	70.8311	40.4462	52.3895	4.1834	21.2465	15.0271	18.2074	33.4551	18.5096	30.9512	42.0796	19.0549	29.36	44.2983	26.8998	47.0057	8.8454	14.9012	48.8753	20.9944	17.7211	17.1671	22.0775	31.3047	20.4943	24.6237	14.0377	26.0293	4.8073	47.9786	40.0146	19.8017	22.3174	22.4297	19.2766	16.2486	17.1576	28.6432	93.2856	29.5576	11.1048	89.6264	3.122	11.4448	32.3351	28.0784	9.1531	1.4136	48.6774	10.0089	0.486	20.6432	21.9098	
ENSG00000001461	445.751	215.3125	445.7203	308	356.0321	277.3649	234.8816	300.2138	251.138	352.4421	121.1994	773.7522	386.7872	575.1234	351.936	78.7644	184.3076	147.7887	209.6845	249.5057	277.7413	250.4103	146.2223	112.244	292.6975	221.9769	221.8047	136.3016	252.0452	221.7987	134.5154	11.5715	65	77.1058	388.1735	296.624	252.0449	140.1564	130.8545	253.9774	234.6597	102.2366	200.9447	221.8703	175.9379	214.3268	155.8506	349.6238	165.9537	178.178	150.9146	184.2596	242.8347	140.002	192.9921	180.6844	122.3442	179.5421	113.4496	160.0878	150.1786	112.8948	134.1367	185.1802	239.1415	201.9947	131.5866	159.1797	88.1885	215.6447	24.0785	183.5757	482.6393	306.895	146.3521	376.7793	64	141.5551	165.0001	115.297	122.8402	18	219.0839	237.8622	128.1352	200.0632	108	
ENSG00000001497	313.3205	287.9995	324.7797	332.9999	338.2784	435.9934	307.9998	283.7408	260.9952	493.9969	142.9913	794.9997	510.1368	742.9844	643.5256	177.9335	271.9977	254	268.9973	410.1756	374.9996	338.9879	185.9137	195	447.996	397	255	208.9912	516.598	386.4445	254.2835	1.7759	82.7594	150.9102	411.0724	444.9999	338.9734	269.9999	319.9999	373.9977	303.9999	71.6605	406.7374	390.7313	352.9743	350.999	166.9822	507.0864	361.8395	244.9493	281.9988	408.9522	358.7612	196.9996	422.9793	334.9993	476.5208	504.5193	252.6536	284.8258	188.9469	262.5321	253.0001	174.9973	306	287	118.8787	272	334	278.8054	61	296.9721	672.9999	508.7585	262	581.0001	91	296.7099	279.9753	279.1126	276.9999	60	346.9864	327.9999	129.997	276.9835	133.876	
ENSG00000001561	329.5767	454.3373	429.5461	328.2693	329.1166	177.6329	177.5819	352.8416	203.0063	152.2932	250.5529	583.075	202.9489	489.0066	352.3388	74.6233	380.2766	150.9924	393.4	228.3944	353.6148	202.9968	199.7904	151.9372	427.4343	227.9009	327.2606	25.4583	411.8234	475.0935	277.4153	24	0.0282	188.7981	329.6087	203.0593	276.3402	224.8408	150.9627	126.873	126.7352	76.898	152.3252	152.2314	378.2201	253.0845	50.7805	403.3288	435.3445	305.6754	199.9505	269.6018	202.9583	538.9697	101.4693	373.1862	196.8462	0.02	130.6316	441.9138	327.0879	227.8478	375.1409	296.359	177.6484	76.2894	197.2045	126.7119	75.9979	202.0485	57	373.9177	228.3611	463.2025	289.6249	380.3256	216.7424	276.3577	308.7384	221.2329	50.7839	87.2893	253.0224	329.2246	177.0833	253.401	123.2493	
ENSG00000001617	151	152	177	101	181.0282	129.0001	145.0001	135	128.0753	209	58	531	268	271.0083	246.9999	61	115.0079	126	132	108.9999	194	125	89	88.9999	176.0001	123	162.9999	172	234	172	75	1	96	108.9999	270	138.0363	221.4844	114.053	135.0001	200.0001	147.0001	30	79	72	95	153.0894	83.0598	186.0002	201.0525	157.0245	81	197	162	84	251	97.0779	123.3634	160	89	185	55	89.9999	62.9999	109.9999	124.563	137.0001	146.1008	82.0001	137	144.9999	23.0001	144.0915	257.1147	159.0001	101.9999	276	90.9999	118.9999	156.0246	87.9999	86.0001	18.0001	125	117	150.9999	115	110.1453	
ENSG00000001626	1499.0603	770.9678	2406.5116	930.1137	383.2937	1160.0533	1175.3533	1776.8574	619.5652	348.5458	52.5429	3045.4049	1772.5979	1198.3139	365.4223	54.0635	450.2345	36.0593	385.1986	70.0052	34.7654	193.3458	0.3079	66.5215	2.5638	131.2864	65.0185	0.0153	98.5637	2.3795	0.1142	0.0186	0.0876	34.9967	2239.9175	170.5987	127.8105	17.218	0.3079	71.748	165.3314	0.0004	24.8944	67.108	7.1703	229.5827	69.1892	101.9063	66.0172	34.4587	1.2549	2.4233	34.8024	5.2839	2.2203	30.3833	8.6798	20.0687	0.1513	0.2123	32.5962	35.9997	1.815	0.3132	39.5497	131.6894	12.1225	39.3645	5.0905	75.8473	0.0372	70.1603	130.1626	1.8789	34.3831	77.7721	23.9367	13.1054	50.9684	1.5604	0.1721	0.053	175.9039	46.259	69.1324	2.3424	37.9524	
ENSG00000001629	930.7865	503	903.0719	672.129	738.1961	762.0001	658	663	651.858	837.3212	268.8826	1544.3018	631.8482	1437.4707	330.1474	92.44	545.0015	460	426.5666	710	685.2549	807.2621	350.0001	326.6559	731.0204	797.3322	666.1175	464.9196	673.3809	552.0493	313.5032	40	73.9999	224.061	883.0702	833.1319	722	373.3374	401.4731	603.3788	509	136.0945	577.9446	430	635.0352	635.2484	628.997	1193.4596	575.0909	380.1105	316.5115	343.6406	640.7298	614.0552	360.032	279.5187	244	336.1249	155	657.6623	428.1001	321.5607	450.7339	437.7543	644.7745	732.3362	414.9719	289.6406	292.9312	498.6117	78.8491	585.4663	1191.8717	607.7753	381.055	895.5618	217	545.0593	521.0525	302.3681	356	101	575.2778	762.3296	243.3447	562.037	250.7936	
ENSG00000001630	925.1863	552.3215	1222.9878	597.6186	411.8165	680.1051	701.1679	1327.8725	713.1702	517.1919	273.4996	1513.5745	1587.018	1779.4635	1796.8087	913.7031	565.8041	1351.91	716.7175	1125.7613	1929.9731	2031.3899	72.5424	727.0342	3335.6833	673.0076	1844.8188	787.7103	1121.5841	767.8944	516.8633	181.3559	509.5639	1554.763	885.5808	1133.9025	2261.2888	2336.7437	1264.9159	1487.1189	1270.2047	435.2543	875.6838	99.7458	483.172	2998.623	1659.1479	1758.7762	954.2106	398.9831	2311.4684	3299.2589	881.6728	271.3161	2910.2461	2384.8347	2629.2458	1115.3408	1133.4745	181.6094	645.2022	1024.4697	1420.051	290.1695	1521.5681	2070.9115	4339.4134	2212.1498	3586.9222	5292.2583	108.8136	1125.196	3716.5904	2448.7967	537.2256	616.6456	264.9239	600.264	577.909	326.4407	777.9939	426.1805	3225.5859	1401.5087	266.0259	389.8042	2389.2637	
ENSG00000001631	526.4449	378.4582	668.5853	624.0669	535.174	599.3137	571.2402	490.1965	612.6643	666.2928	189.0061	1252.0321	474.9504	1042.0543	335.842	104.5764	434.4233	336.0755	338.0723	426.9245	588.9555	677.1259	526.5654	266.9873	733.8553	571.3514	549.6864	345.4623	573.0238	456.8912	319.4172	30.5468	25.996	218.2113	655.2557	816.7538	545.9085	260.5861	394.6444	557.0302	474.6403	218.6407	514.8462	504.742	586.5108	461.0159	643.5834	1107.3365	464.5599	349.4959	304.5278	357.9404	598.853	520.3812	384.8313	385.6435	223.1955	275.0418	139.7926	375.0816	326	295.9658	478.231	391.386	546.0198	586.1735	382.6117	275.8266	280.4078	387.6477	86.3979	479.2229	991.3555	585.5424	305.3757	879.9681	155.9998	516.4651	407.6447	307.8245	462.1581	99.3927	518.2013	597.4779	388.0811	566.0673	259.3868	
ENSG00000002016	107.3479	85	121.7246	99.0123	92.4835	101.3722	73.148	94.9978	114.3818	97.5828	55.2813	258.2323	131.2506	195.1767	98.3201	38.2231	68	81.4161	99.1644	97.0027	95.1953	81.8246	140.1825	63.7093	145.5728	123.1795	77.7648	95.6611	138.1276	127.3905	70.903	4.4123	15.3425	48.9999	123.4061	120.4347	102.1599	56.3992	131.8495	133.7351	99.1198	60.3834	87.1148	110.1875	81.1014	74.3121	101.3508	173.3993	118.33	107.5523	54.1642	65.7675	127.2679	91.2262	83.3902	57.9898	19.9062	61.6293	34.5533	98.0014	59.5899	87.3366	59.1027	99	71.1726	91.1495	84.6442	60.0116	75.9326	98.1726	44.2184	82	142.0924	112.3695	78.0001	140.0047	27.4319	114.1621	79.5878	135.6797	62.0272	13	124.4377	125.3283	90.1688	95.2194	55.4694	
